track_name,artist_name,album_name,release_date,popularity,track_id,region,features,languages
PERFuMITO NUEVO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,90,1Q9Efnm5csdCMFynISxL2x,Global,['RaiNao'],Unknown
Like Him,Tyler,CHROMAKOPIA,2024-10-28,90,6jbYpRPTEFl1HFKHk1IC0m,Global,"['The Creator', 'Lola Young']",Unknown
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,85,1k2pQc5i348DCHwbn5KTdc,Global,[],Unknown
No One Noticed,The Marías,Submarine,2024-05-31,86,3siwsiaEoU4Kuuc9WKMUy5,Global,[],Unknown
Liar,Jelly Roll,Beautifully Broken,2024-10-10,75,0llPOBVoJYDAtdmVlNE41A,Global,[],Unknown
Outfit,Lil Baby,WHAM (Extended Version),2025-01-10,71,6B2FtBtIds4rqeLPTW0D76,Global,['21 Savage'],Unknown
Stuff,Lil Baby,WHAM (Extended Version),2025-01-10,78,6JvIjI8H3yxpigROd3Cv9N,Global,['Travis Scott'],Unknown
WELTiTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,91,5WEF0icHWmAZBBMglBd599,Global,['Chuwi'],Unknown
Redbone,Lil Baby,WHAM (Extended Version),2025-01-10,65,7nP8jrKvubPXbVHE52OPdo,Global,['GloRilla'],Unknown
EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,91,6J5kc12BW5HuP3d7C3vvx8,Global,[],Unknown
I Never Lie,Zach Top,Cold Beer & Country Music,2024-04-05,79,3t6gUcGYLrUuqwpXjOFWQc,Global,[],Unknown
I'm Gonna Love You,Cody Johnson,How Do You Sleep At Night?,2024-10-11,40,3C94TlV5KIavC4EjzK2AHf,Global,['Carrie Underwood'],Unknown
F U 2x,Lil Baby,WHAM (Extended Version),2025-01-10,69,2ubNuGSCWRRxUfojPRebiA,Global,[],Unknown
4×4×U,Lainey Wilson,4×4×U,2024-07-04,59,0ZHdP6TzcInPSdQwQ1fkBZ,Global,[],Unknown
KETU TeCRÉ,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,88,4c2Pc0NrfkesPR0jff6q3F,Global,[],Unknown
PIToRRO DE COCO,Bad Bunny,PIToRRO DE COCO,2024-12-26,77,1OSOHTBFkIkhUtxhOyUksc,Global,[],Unknown
Indigo,Sam Barber,Restless Mind,2024-11-01,84,1KZG1H1OCugGqIRmk1wF9m,Global,['Avery Anna'],Unknown
Loco,Neton Vega,Loco,2024-12-20,88,63EQbNhgaih4yg5412usWG,Global,[],Unknown
It's ok I'm ok,Tate McRae,It's ok I'm ok,2024-09-12,82,24XihnoVPWXlKJ4BgXqjVM,Global,[],Unknown
Good News,Shaboozey,Good News,2024-11-15,79,54p6vNJwGkt4FTaM8SCsxt,Global,[],Unknown
Listen Up,Lil Baby,WHAM (Extended Version),2025-01-10,66,4iGqt48gNNqspw8VN8EKgP,Global,[],Unknown
KLOuFRENS,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,89,4MUrUT38U98olfnyzMBCzm,Global,[],Unknown
Defying Gravity,Cynthia Erivo,Wicked: The Soundtrack,2024-11-22,84,5QMrH5nszZZR3nefIj6Mar,Global,['Ariana Grande'],Unknown
Tu Boda,Oscar Maydon,Tu Boda,2024-09-26,90,1cOboCuWYI2osTOfolMRS6,Global,['Fuerza Regida'],Unknown
BOKeTE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,88,79x7xtoCLpf6l32Zz6mWo4,Global,[],Unknown
Scorsese Baby Daddy,SZA,SOS Deluxe: LANA,2024-12-20,83,2E7a96qey4AzSOdK6H21vS,Global,[],Unknown
I Promise,Lil Baby,WHAM (Extended Version),2025-01-10,64,0HBqoVCPtB8VkFOixWrBS3,Global,[],Unknown
Qué Pasaría...,Rauw Alejandro,Qué Pasaría...,2024-11-14,73,0OxKf18dUo2G5dFOQYCvBN,Global,['Bad Bunny'],Unknown
Due 4A Win,Lil Baby,WHAM (Extended Version),2025-01-10,68,0icIjOb3QHklvGBaR7woTP,Global,[],Unknown
So Sorry,Lil Baby,WHAM (Extended Version),2025-01-10,65,5wwy9GjFxOFMV8IO6Xdf8h,Global,[],Unknown
Think I'm In Love With You,Chris Stapleton,Think I’m In Love With You,2023-09-08,66,65M92JpTbAdHmTQm4jGaDa,Global,[],Unknown
DENIAL IS A RIVER,Doechii,Alligator Bites Never Heal,2024-08-30,85,1eTaznNW4Xxtx9za2SMTXB,Global,[],Unknown
TURiSTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,88,7tCuCjhxzjX2XCz4JiiAsp,Global,[],Unknown
Guy For That,Post Malone,F-1 Trillion,2024-08-15,76,6StwwqB84sJeLr7tZDTxEX,Global,['Luke Combs'],Unknown
Residuals,Chris Brown,11:11 (Deluxe),2024-04-11,69,4t4rGgiVX7woTmlnW9SHJ7,Global,[],Unknown
No Pole,Don Toliver,Love Sick (Deluxe),2023-02-28,87,0eaVIYo2zeOaGJeqZ5TwYz,Global,[],Unknown
I Ain't Sayin',Jordan Davis,I Ain't Sayin',2024-07-26,74,7lCs3stpWCtAn5Y2lmnPhV,Global,[],Unknown
Am I Okay?,Megan Moroney,Am I Okay?,2024-07-12,75,36wAwEkSDpNQ4oQeRLYC3L,Global,[],Unknown
